media	mediana	desviacion	min	max
0.616154	0.58906	0.400547	0.227433	0.937523	
0.572357	0.567729	0.408666	0.309496	0.840721	
0.549785	0.533249	0.434601	0.257913	0.831214	
0.443611	0.434536	0.400574	0.167057	0.73614	
0.560588	0.536665	0.494684	0.159437	0.890789	
0.578063	0.538492	0.504944	0.152989	0.957958	
0.596232	0.557242	0.482415	0.254396	0.950364	
0.650653	0.622984	0.575724	0.147128	0.993271	
0.668128	0.66672	0.594601	0.103165	0.982652	
0.614521	0.611663	0.571051	0.0838218	0.962279	
0.584765	0.576031	0.447264	0.117819	0.871219	
0.556849	0.549416	0.400234	0.161196	0.833807	
0.559158	0.551521	0.365658	0.207503	0.838252	
0.507577	0.467824	0.662437	0.049238	0.897457	
0.564711	0.514817	0.753224	0.0234467	0.980306	
0.452716	0.456185	0.352008	0.212192	0.775837	
0.655339	0.635656	0.432666	0.256741	0.948018	
0.626031	0.606141	0.458093	0.167644	0.894431	
0.528713	0.500834	0.388055	0.139508	0.783554	
0.62759	0.587908	0.45059	0.247362	0.941042	
0.663136	0.628148	0.466141	0.372802	0.96123	
0.615621	0.597998	0.395297	0.347597	0.915051	
0.615621	0.597998	0.395297	0.347597	0.915051	
0.0100326	0.00699134	0.0162032	0	0.0270404	
0.496814	0.465083	0.282022	0.262603	0.71231	
0.46823	0.441805	0.301911	0.135991	0.702186	
0.449984	0.433344	0.328643	0.0504103	0.678849	
0.370395	0.367284	0.309173	0.0433763	0.597358	
0.471567	0.465599	0.390079	0.0398593	0.801087	
0.495677	0.47994	0.415716	0.038687	0.913076	
0.498693	0.469929	0.381009	0.0363423	0.868132	
0.549501	0.52872	0.436196	0.223916	0.958637	
0.545135	0.54453	0.414786	0.245018	0.874923	
0.490587	0.490506	0.381816	0.307151	0.790036	
0.479949	0.465957	0.302562	0.347011	0.75997	
0.448607	0.426511	0.266557	0.396249	0.701383	
0.459873	0.440494	0.254001	0.431418	0.67317	
0.427621	0.418328	0.458509	0.103751	0.762687	
0.480138	0.464567	0.534413	0.121923	0.880973	
0.361685	0.345396	0.244811	0.0539273	0.571552	
0.554211	0.524152	0.296932	0.328253	0.819546	
0.526626	0.505521	0.312931	0.317702	0.787196	
0.456084	0.430921	0.2929	0.264361	0.714533	
0.519239	0.492532	0.347027	0.0222743	0.841832	
0.551205	0.533407	0.360523	0.021102	0.808371	
0.51174	0.48415	0.293351	0.0797186	0.734535	
0.51174	0.48415	0.293351	0.0797186	0.734535	
0.00221365	0	0.00695857	0	0.0160514	
0.472676	0.443076	0.35724	0.275498	0.798988	
0.428219	0.404385	0.320124	0.239742	0.794049	
0.423093	0.398506	0.356548	0.188746	0.755155	
0.343675	0.321046	0.338761	0.0990621	0.669157	
0.430866	0.401128	0.436477	0.101993	0.843437	
0.445557	0.417613	0.472908	0.0199297	0.934683	
0.451542	0.423771	0.46161	0.0638921	0.928201	
0.486445	0.449869	0.53087	0.0345838	0.973886	
0.498713	0.460713	0.521071	0.111372	0.9616	
0.438174	0.409549	0.453619	0.066823	0.855538	
0.441352	0.418765	0.368304	0.15592	0.791826	
0.408865	0.391992	0.308543	0.141852	0.70447	
0.429439	0.407325	0.293594	0.265533	0.795901	
0.372765	0.367681	0.471371	0.00820633	0.7909	
0.390717	0.331532	0.575294	0	0.891468	
0.333724	0.315087	0.254387	0.194607	0.661748	
0.508206	0.480416	0.366418	0.398007	0.831152	
0.474938	0.440653	0.394178	0.167644	0.811582	
0.412163	0.384444	0.369061	0.0556858	0.791826	
0.48439	0.452451	0.42819	0.107268	0.91999	
0.508794	0.473346	0.413629	0.293669	0.89332	
0.472693	0.44252	0.337103	0.311841	0.828991	
0.472693	0.44252	0.337103	0.311841	0.828991	
0.00654087	0.00158894	0.0174401	0	0.12162	
0.478811	0.437912	0.41275	0.247362	0.832572	
0.45856	0.424962	0.384601	0.137749	0.778676	
0.439075	0.406729	0.415251	0.066823	0.785159	
0.357917	0.325614	0.392582	0.0451348	0.697247	
0.450692	0.392945	0.508489	0.0838218	0.872947	
0.462403	0.391594	0.540867	0.0762016	0.899	
0.455463	0.405696	0.510451	0.110785	0.870046	
0.503723	0.431755	0.584906	0.139508	0.991234	
0.515721	0.446572	0.566199	0.104338	0.990493	
0.470013	0.412251	0.507833	0.0474795	0.914681	
0.467908	0.422301	0.427363	0.0867526	0.832387	
0.447301	0.418368	0.374587	0.0750293	0.808186	
0.451568	0.435767	0.351322	0.14068	0.790159	
0.421705	0.363311	0.539255	0.00117233	0.804297	
0.45365	0.370263	0.649601	0.00820633	0.971478	
0.36953	0.361047	0.300265	0.0932005	0.725275	
0.517358	0.482363	0.421221	0.213365	0.870972	
0.493924	0.447764	0.449374	0.159437	0.898136	
0.414758	0.37499	0.405105	0.178195	0.757377	
0.490232	0.440216	0.481515	0.200469	0.883196	
0.516276	0.471042	0.476996	0.179953	0.892024	
0.484665	0.452014	0.396555	0.192849	0.803433	
0.484665	0.452014	0.396555	0.192849	0.803433	
0.0173201	0.013506	0.0277105	0	0.147734	
0.751927	0.732819	0.457328	0.770223	0.999259	
0.718604	0.694407	0.476331	0.546307	0.999444	
0.697948	0.673473	0.537708	0.478312	0.999938	
0.562075	0.543418	0.502525	0.245604	0.919002	
0.694073	0.673711	0.601004	0.299531	1	
0.700124	0.67534	0.591969	0.38687	1	
0.709705	0.682053	0.557392	0.396249	1	
0.753892	0.732899	0.639349	0.322978	1	
0.790165	0.772781	0.675907	0.328253	1	
0.732212	0.715579	0.668166	0.293669	1	
0.724301	0.702352	0.535108	0.512309	0.998765	
0.684763	0.656233	0.454918	0.56272	0.968638	
0.715114	0.689958	0.411648	0.642438	0.984011	
0.647545	0.636847	0.775453	0.271395	1	
0.668342	0.607492	0.840181	0.228019	1	
0.588055	0.566299	0.39424	0.49238	0.951476	
0.828716	0.800945	0.48842	0.798359	1	
0.776152	0.748034	0.525712	0.589683	0.998457	
0.64035	0.616668	0.448768	0.54279	0.947401	
0.769243	0.738778	0.530676	0.846424	1	
0.828518	0.801382	0.551773	0.935522	1	
0.775479	0.753078	0.451741	1	0.999815	
0.775479	0.753078	0.451741	1	0.999815	
0.149858	0.021689	0.528037	0	1	
0.553939	0.525463	0.420759	0.33939	0.990801	
0.498634	0.469055	0.388417	0.221571	0.933696	
0.496572	0.473902	0.423904	0.185229	0.955241	
0.417951	0.394216	0.405248	0.116061	0.88869	
0.528128	0.488281	0.515771	0.138921	0.959625	
0.557434	0.507984	0.557222	0.122509	0.99858	
0.553721	0.518193	0.52828	0.161782	0.999506	
0.592798	0.547231	0.598541	0.172333	1	
0.597651	0.54449	0.592099	0.149472	0.999259	
0.530649	0.491062	0.53808	0.146542	1	
0.515906	0.486295	0.442562	0.18347	0.999444	
0.477139	0.445181	0.384438	0.178781	0.962958	
0.491091	0.458608	0.35697	0.262016	0.931905	
0.354447	0.270676	0.570414	0	0.82078	
0.447378	0.249662	0.805964	0	1	
0.458223	0.301819	0.795656	0	1	
0.386482	0.147454	0.801681	0	1	
